algorithm,k,n_clusters_found,silhouette_score,davies_bouldin_index,calinski_harabasz_index,nri,ari,purity
agglomerative,5,5,0.03891853790935274,3.076373700429044,1282.8412290629703,0.6967508457311551,0.17567521963761373,0.4906993171650577
agglomerative,8,8,0.028378019067063852,3.07392983012845,926.2848687211917,0.7259368647798634,0.1938653077969122,0.5229573816811868
agglomerative,10,10,0.018340357175731625,3.232680141236135,783.2250827711624,0.7353195713077948,0.15551792878589674,0.5238992229809277
agglomerative,16,16,-0.006572343491608111,3.5372816840298418,550.356098882973,0.7425985624348064,0.0896849515006052,0.5301389215917118
gmm,5,5,0.008713421338567928,5.879316488419689,716.3720579029713,0.7113596847540126,0.20121799100700735,0.5355545090652225
gmm,8,8,-0.011644928772277073,4.594525575137224,639.5716202715358,0.7322716651325314,0.16559225897827087,0.5299034612667766
gmm,10,10,-0.03983645431079849,4.206321403938011,533.3939985721966,0.7396421402263749,0.13646971195367325,0.5483870967741935
gmm,16,16,-0.058081777033986925,5.217633422010838,364.1287459391762,0.7529749095933955,0.11858064941025102,0.5921827172121498
kmeans,5,5,0.06930587304619817,2.5717287583667967,1649.614646730721,0.7032929473665432,0.17571434328944724,0.4917000235460325
kmeans,8,8,0.05628151598071115,2.675101030824563,1179.9098747649793,0.7341709831736174,0.176582194665833,0.5277254532611255
kmeans,10,10,0.047553132186269664,2.704543860459186,1007.2017112168363,0.7427991826157065,0.1614837499446125,0.5347303979279492
kmeans,16,16,0.03506755795329047,2.806915976208941,708.8487563006621,0.751544197380595,0.12148242335934102,0.5430892394631505
spectral,5,5,0.1054492246510596,2.2786635212532196,1278.8807509480027,0.6770262995196995,0.22307689492626853,0.5266070167176831
spectral,8,8,0.06720966905069821,2.4338097047465177,963.5650806550491,0.7127646705664433,0.22662005128538923,0.538556628208147
spectral,10,10,0.07048721849026363,2.421709865548862,822.8101545225834,0.7187159729023935,0.21865744000906528,0.551683541323287
spectral,16,16,0.039751673690408336,2.5940755496581387,568.5011791950554,0.7297030933598456,0.16895504949103732,0.5496232634801036
