"algorithm","k","n_clusters_found","silhouette_score","davies_bouldin_index","calinski_harabasz_index","nri","ari","purity"
"agglomerative","5","5","0.0390743550823867","3.0455322054706886","1930.9163074770568","0.7129601334447008","0.10099880591262951","0.3611236973266878"
"agglomerative","10","10","-0.005206060961374542","3.2846193913356196","1124.7310043933905","0.7813976300282012","0.10713734392193248","0.41017217942908923"
"agglomerative","15","15","-0.004821789307642677","3.428653445915107","826.2189552712873","0.7967987465640601","0.10152119643109304","0.41017217942908923"
"agglomerative","19","19","-0.012887698062376838","3.7865692236516297","682.2246650448694","0.8128561931563271","0.10000562620661474","0.41987615163872527"
"agglomerative","25","25","-0.016982372907049677","3.784072567983314","552.4132972960814","0.8206422790435367","0.08505545286245965","0.42206615314907114"
"gmm","5","5","-0.012618331304631261","5.693756516695206","874.9845854878533","0.6876246104491901","0.08591430100636015","0.37146956653073554"
"gmm","10","10","-0.04509105175035336","5.6193683981167","627.303216022662","0.7718036601925851","0.09193462946779409","0.3836278507778281"
"gmm","15","15","-0.06119896180131669","7.275748025913857","432.86671257817557","0.8096138741444864","0.11849223458036569","0.44808186074611084"
"gmm","19","19","-0.06711174598642677","5.9362046492373","375.09428408074245","0.8086006569385747","0.09075871039500683","0.4428711674973569"
"gmm","25","25","-0.08738064933227477","6.729012398492736","293.91237124789143","0.8235302658843482","0.07929096599866466","0.46926446156169765"
"kmeans","5","5","0.06452736481488218","2.6376737914758785","2470.8504044320007","0.7288845129939846","0.12122382004036204","0.38570457634798366"
"kmeans","10","10","0.043376994862712175","2.782706409856027","1468.2350635781945","0.7883811304505682","0.1303501124619445","0.4181770125358707"
"kmeans","15","15","0.02443683054370472","2.915519013418973","1080.0769795302285","0.8093979157295442","0.0985711270216348","0.41651563207974623"
"kmeans","19","19","0.025819669015816192","2.8801197283905293","899.2516176633076","0.8158183713252074","0.09634617739612762","0.42119770427427883"
"kmeans","25","25","0.017622747138788898","2.9151126403375094","724.939325205344","0.822325314082848","0.07011459932440894","0.4364521975532397"
"spectral","5","5","0.09745945572544336","2.3650677356246343","1820.913021489593","0.669151468779278","0.15585378550621368","0.3988445854100589"
"spectral","10","10","0.05909117888527154","2.373927065920024","1114.7385843942438","0.7305640092740472","0.1554176517056086","0.4117580425917535"
"spectral","15","15","0.03571123364009298","2.526634372916732","810.3836886988225","0.7465094645442073","0.1446917591492372","0.4159870110255248"
"spectral","19","19","0.026012347153662508","2.7392697412580436","684.9941807909127","0.7615865293961138","0.11939009761635046","0.41307959522730703"
"spectral","25","25","0.01908034683706568","2.699952270302218","561.4353679789192","0.7921464102127554","0.12496435599323305","0.4116447666515632"
