"algo","train_ratio","test_size","random_state","n_classes","data","silhouette","davies_bouldin","calinski_harabasz","nmi","ari","acc_hungarian"
"KMeans","0.5","0.5","0","10","features_30_sec_cleaned.csv","0.07799432133312416","2.2996606673442135","29.80713773509462","0.3547657732968775","0.17938872282890553","0.39880952380952384"
"MiniBatchKMeans","0.5","0.5","0","10","features_30_sec_cleaned.csv","0.08073188695995956","2.2610683026919665","29.461530842778068","0.30801938260858913","0.15203787320745826","0.37797619047619047"
"Spectral","0.5","0.5","0","10","features_30_sec_cleaned.csv","0.08332822140532725","2.3214208689889495","29.724538462739936","0.3342700961734551","0.15977964507714235","0.3898809523809524"
"GMM","0.5","0.5","0","10","features_30_sec_cleaned.csv","null","null","null","0.1781012945657765","0.02279774045613979","0.2261904761904762"
"DBSCAN","0.5","0.5","0","10","features_30_sec_cleaned.csv","0.21605754157216867","1.419621797930267","7.777790867363369","0.018233723475551043","-0.0011535305574683758","0.1488095238095238"
"KMeans","0.5","0.5","42","10","features_30_sec_cleaned.csv","0.07471186174033109","2.5587653378512787","29.11899279891958","0.3477549709535868","0.1703617094463244","0.39880952380952384"
"MiniBatchKMeans","0.5","0.5","42","10","features_30_sec_cleaned.csv","0.06955955330919181","2.04192632284617","29.453436403281547","0.29414342398181303","0.1337859522713809","0.3392857142857143"
"Spectral","0.5","0.5","42","10","features_30_sec_cleaned.csv","0.07452327408303025","2.311835895431128","29.92758056153632","0.3240952017621516","0.14061730685277807","0.3601190476190476"
"GMM","0.5","0.5","42","10","features_30_sec_cleaned.csv","null","null","null","0.02409914352373059","0.0006091991189811208","0.15773809523809523"
"DBSCAN","0.5","0.5","42","10","features_30_sec_cleaned.csv","null","null","null","0","0","0.14583333333333334"
"KMeans","0.5","0.5","1337","10","features_30_sec_cleaned.csv","0.07240427979836712","2.273327465689366","29.3191877976345","0.3584681280416057","0.18904777392799582","0.37202380952380953"
"MiniBatchKMeans","0.5","0.5","1337","10","features_30_sec_cleaned.csv","0.07448231021748883","2.478109729737098","29.879904523258936","0.3179757092579069","0.13268045884464244","0.3244047619047619"
"Spectral","0.5","0.5","1337","10","features_30_sec_cleaned.csv","0.08371658101060041","2.3416784697716855","31.295000935989467","0.34474313725612504","0.1502692393553315","0.36607142857142855"
"GMM","0.5","0.5","1337","10","features_30_sec_cleaned.csv","null","null","null","0.01993095246761633","0.0002012055833339057","0.15476190476190477"
"DBSCAN","0.5","0.5","1337","10","features_30_sec_cleaned.csv","0.15650485032833353","1.6293548537994913","9.158560336820734","0.021758291546329876","-0.0012493578468176338","0.14583333333333334"
"KMeans","0.6","0.4","0","10","features_30_sec_cleaned.csv","0.07929070619123232","2.2130644198343012","24.759008598677422","0.3405371955794153","0.1377556325188322","0.34944237918215615"
"MiniBatchKMeans","0.6","0.4","0","10","features_30_sec_cleaned.csv","0.10639096189422115","1.8845078007095524","22.222548238385013","0.3485919896132459","0.163671866876947","0.34944237918215615"
"Spectral","0.6","0.4","0","10","features_30_sec_cleaned.csv","0.08408611441264538","2.106429218635428","23.10075910528367","0.33340108475789426","0.14433684694672413","0.34572490706319703"
"GMM","0.6","0.4","0","10","features_30_sec_cleaned.csv","null","null","null","0.03788845188242813","0.0004249097448879215","0.15985130111524162"
"DBSCAN","0.6","0.4","0","10","features_30_sec_cleaned.csv","0.2441809496298567","1.546229471557981","6.11589931295662","0.014508630347432813","-0.0007147492504713816","0.14869888475836432"
"KMeans","0.6","0.4","42","10","features_30_sec_cleaned.csv","0.08740252834937044","2.2348950499718248","25.245059017410814","0.3668123650936612","0.1759158339178657","0.3828996282527881"
"MiniBatchKMeans","0.6","0.4","42","10","features_30_sec_cleaned.csv","0.09150996873507429","2.1994065244774648","25.94181915808793","0.342214291824325","0.13937901244409104","0.3271375464684015"
"Spectral","0.6","0.4","42","10","features_30_sec_cleaned.csv","0.09006024529294401","2.1807755778297917","25.269037802594795","0.34372581621684023","0.14979165708021755","0.3754646840148699"
"GMM","0.6","0.4","42","10","features_30_sec_cleaned.csv","null","null","null","0.06250856630254469","0.0010843429473630449","0.15985130111524162"
"DBSCAN","0.6","0.4","42","10","features_30_sec_cleaned.csv","null","null","null","0","0","0.1449814126394052"
"KMeans","0.6","0.4","1337","10","features_30_sec_cleaned.csv","0.08770172818564428","2.2266495055246085","24.33290021553355","0.3094314907102654","0.13397884401372856","0.3643122676579926"
"MiniBatchKMeans","0.6","0.4","1337","10","features_30_sec_cleaned.csv","0.0961212206848562","2.1415632495805026","25.354041027978493","0.32133863194353174","0.13828449880815363","0.3345724907063197"
"Spectral","0.6","0.4","1337","10","features_30_sec_cleaned.csv","0.08084576393314004","2.3229123990095575","24.720187816061582","0.3595489276308531","0.15673929507174425","0.3754646840148699"
"GMM","0.6","0.4","1337","10","features_30_sec_cleaned.csv","null","null","null","0.10146424569878044","0.03286048416279837","0.1970260223048327"
"DBSCAN","0.6","0.4","1337","10","features_30_sec_cleaned.csv","0.1650529354328337","1.5723219787579201","7.291660279516195","0.02619545797414804","-0.0019342097466664308","0.1449814126394052"
"KMeans","0.7","0.30000000000000004","0","10","features_30_sec_cleaned.csv","0.09094848735940551","2.044444275455034","17.76280269117894","0.352965716631404","0.1573609344093444","0.3613861386138614"
"MiniBatchKMeans","0.7","0.30000000000000004","0","10","features_30_sec_cleaned.csv","0.08669563455268796","2.285864030013581","17.20576278577017","0.40423271384211623","0.20090218007456814","0.43564356435643564"
"Spectral","0.7","0.30000000000000004","0","10","features_30_sec_cleaned.csv","0.08016231836780663","2.2041875986551944","16.106443052543803","0.37089067757207067","0.1557059587541884","0.3613861386138614"
"GMM","0.7","0.30000000000000004","0","10","features_30_sec_cleaned.csv","null","null","null","0.1619269468342509","0.049076840538933866","0.24752475247524752"
"DBSCAN","0.7","0.30000000000000004","0","10","features_30_sec_cleaned.csv","0.2192866897624491","1.2794793236764523","5.143845311366187","0.019098497682350325","-0.0009723090454106039","0.1485148514851485"
"KMeans","0.7","0.30000000000000004","42","10","features_30_sec_cleaned.csv","0.06681645004157664","2.1416050933991313","18.73572078840811","0.3645695040882089","0.16029342839137736","0.35148514851485146"
"MiniBatchKMeans","0.7","0.30000000000000004","42","10","features_30_sec_cleaned.csv","0.09602032555238355","2.462107239220143","18.6490082736359","0.3562375663976892","0.15426516109418684","0.36633663366336633"
"Spectral","0.7","0.30000000000000004","42","10","features_30_sec_cleaned.csv","0.09607037569488722","2.0377420972913916","19.57346275065969","0.381416102275708","0.15963946978509574","0.3712871287128713"
"GMM","0.7","0.30000000000000004","42","10","features_30_sec_cleaned.csv","null","null","null","0.0976978970573403","0.01727289424222958","0.1782178217821782"
"DBSCAN","0.7","0.30000000000000004","42","10","features_30_sec_cleaned.csv","0.20333448559029035","1.431902141804339","7.523783503092454","0.02306116776410028","-0.001496195222196065","0.14356435643564355"
"KMeans","0.7","0.30000000000000004","1337","10","features_30_sec_cleaned.csv","0.09795722595022444","2.1894800672055283","19.80201898300631","0.3496990740470052","0.14078635427455446","0.36633663366336633"
"MiniBatchKMeans","0.7","0.30000000000000004","1337","10","features_30_sec_cleaned.csv","0.06912605757850017","2.2585079720567878","18.603064937593007","0.3146596065939436","0.12148798782076803","0.3316831683168317"
"Spectral","0.7","0.30000000000000004","1337","10","features_30_sec_cleaned.csv","0.08466598644975414","2.2940558057379397","18.962010571497704","0.37902889388211847","0.15591161420799704","0.3910891089108911"
"GMM","0.7","0.30000000000000004","1337","10","features_30_sec_cleaned.csv","null","null","null","0.11168312403990026","0.014825440427386757","0.18811881188118812"
