algo,train_ratio,test_size,random_state,n_clusters_target,dataset,total_samples,n_features,train_samples,test_samples,silhouette,davies_bouldin,calinski_harabasz,n_clusters,n_noise_points,noise_percentage,cluster_0_size,cluster_1_size,dbscan_eps,dbscan_min_samples
KMeans,0.5,0.5,0,2,MSD,10000,61,5000,5000,0.1867734622296644,2.105838989741972,1003.5883532248824,2,0,0.0,3092,1908.0,,
MiniBatchKMeans,0.5,0.5,0,2,MSD,10000,61,5000,5000,0.16667914290188654,2.1223374196002993,986.6799971467079,2,0,0.0,2781,2219.0,,
Spectral,0.5,0.5,0,2,MSD,10000,61,5000,5000,0.11523155752245134,2.0539895486852027,875.6274191876345,2,0,0.0,3111,1889.0,,
GMM,0.5,0.5,0,2,MSD,10000,61,5000,5000,0.21301181735380278,2.636541298698312,625.9468446415773,2,0,0.0,3630,1370.0,,
DBSCAN,0.5,0.5,0,2,MSD,10000,61,5000,5000,,,,1,0,0.0,5000,,7.456032142583126,5.0
KMeans,0.5,0.5,42,2,MSD,10000,61,5000,5000,0.18138386698733272,2.142857041123045,973.5084580304775,2,0,0.0,1911,3089.0,,
MiniBatchKMeans,0.5,0.5,42,2,MSD,10000,61,5000,5000,0.22391250753619715,2.0525746331522683,928.5737436769948,2,0,0.0,1270,3730.0,,
Spectral,0.5,0.5,42,2,MSD,10000,61,5000,5000,0.11270781815234215,2.04950167859047,863.0209935305834,2,0,0.0,3190,1810.0,,
GMM,0.5,0.5,42,2,MSD,10000,61,5000,5000,0.2029706739422853,2.717055695519033,595.6049103227188,2,0,0.0,1409,3591.0,,
DBSCAN,0.5,0.5,42,2,MSD,10000,61,5000,5000,,,,1,0,0.0,5000,,7.456032142583126,5.0
KMeans,0.5,0.5,1337,2,MSD,10000,61,5000,5000,0.18339130448564583,2.146377586445741,955.2722199004465,2,0,0.0,1858,3142.0,,
MiniBatchKMeans,0.5,0.5,1337,2,MSD,10000,61,5000,5000,0.23209040500507214,2.038062845969626,882.8317287530134,2,0,0.0,3857,1143.0,,
Spectral,0.5,0.5,1337,2,MSD,10000,61,5000,5000,0.11456699689057298,2.060984332189834,858.3266215955309,2,0,0.0,3153,1847.0,,
GMM,0.5,0.5,1337,2,MSD,10000,61,5000,5000,0.1861467660775353,2.714678925107308,605.448161231219,2,0,0.0,1578,3422.0,,
DBSCAN,0.5,0.5,1337,2,MSD,10000,61,5000,5000,,,,1,0,0.0,5000,,7.456032142583126,5.0
KMeans,0.6,0.4,0,2,MSD,10000,61,6000,4000,0.18928599776410943,2.1034465804712363,802.902489300776,2,0,0.0,2495,1505.0,,
MiniBatchKMeans,0.6,0.4,0,2,MSD,10000,61,6000,4000,0.2039758369595424,2.0745391997691147,797.9834291545592,2,0,0.0,2695,1305.0,,
Spectral,0.6,0.4,0,2,MSD,10000,61,6000,4000,0.11481670373520757,2.0547613990113156,699.3018178590978,2,0,0.0,1518,2482.0,,
GMM,0.6,0.4,0,2,MSD,10000,61,6000,4000,0.20950632358519794,2.622729862988743,511.44950964479,2,0,0.0,2861,1139.0,,
DBSCAN,0.6,0.4,0,2,MSD,10000,61,6000,4000,,,,1,0,0.0,4000,,7.456032142583126,5.0
KMeans,0.6,0.4,42,2,MSD,10000,61,6000,4000,0.18365071433776517,2.1530132239729176,765.9931278497079,2,0,0.0,1480,2520.0,,
MiniBatchKMeans,0.6,0.4,42,2,MSD,10000,61,6000,4000,0.18737807156688463,2.1493694764669597,755.8649779378899,2,0,0.0,2609,1391.0,,
Spectral,0.6,0.4,42,2,MSD,10000,61,6000,4000,0.11401234495136627,2.0659865894294476,690.0753636459605,2,0,0.0,2515,1485.0,,
GMM,0.6,0.4,42,2,MSD,10000,61,6000,4000,0.2015464970856354,2.7262232880254618,474.5984787606784,2,0,0.0,1142,2858.0,,
DBSCAN,0.6,0.4,42,2,MSD,10000,61,6000,4000,,,,1,0,0.0,4000,,7.456032142583126,5.0
KMeans,0.6,0.4,1337,2,MSD,10000,61,6000,4000,0.18351939781880933,2.148818770952495,765.9736688559341,2,0,0.0,2518,1482.0,,
MiniBatchKMeans,0.6,0.4,1337,2,MSD,10000,61,6000,4000,0.15490603556798255,2.1757536459163935,745.5410894369033,2,0,0.0,1857,2143.0,,
Spectral,0.6,0.4,1337,2,MSD,10000,61,6000,4000,0.11438742217636286,2.051396421939426,691.2546976007375,2,0,0.0,1462,2538.0,,
GMM,0.6,0.4,1337,2,MSD,10000,61,6000,4000,0.197364876061757,2.7222728602027635,474.93354500967354,2,0,0.0,2838,1162.0,,
DBSCAN,0.6,0.4,1337,2,MSD,10000,61,6000,4000,,,,1,0,0.0,4000,,7.456032142583126,5.0
KMeans,0.7,0.30000000000000004,0,2,MSD,10000,61,6999,3001,0.19032966967145287,2.1098485623669956,599.7542650751362,2,0,0.0,1126,1875.0,,
MiniBatchKMeans,0.7,0.30000000000000004,0,2,MSD,10000,61,6999,3001,0.24362088877714133,1.9941265761677434,567.4165340286424,2,0,0.0,696,2305.0,,
Spectral,0.7,0.30000000000000004,0,2,MSD,10000,61,6999,3001,0.11468336104937686,2.068367674272335,522.3745306049005,2,0,0.0,1846,1155.0,,
GMM,0.7,0.30000000000000004,0,2,MSD,10000,61,6999,3001,0.20721261980167102,2.620275809562812,386.91234386312465,2,0,0.0,874,2127.0,,
DBSCAN,0.7,0.30000000000000004,0,2,MSD,10000,61,6999,3001,,,,1,0,0.0,3001,,7.456032142583126,5.0
KMeans,0.7,0.30000000000000004,42,2,MSD,10000,61,6999,3001,0.18533207668784052,2.131863388917603,584.5798153802743,2,0,0.0,1886,1115.0,,
MiniBatchKMeans,0.7,0.30000000000000004,42,2,MSD,10000,61,6999,3001,0.18360851631694636,2.1338042952391096,584.687043769059,2,0,0.0,1870,1131.0,,
Spectral,0.7,0.30000000000000004,42,2,MSD,10000,61,6999,3001,0.11420375740010366,2.0493144022743195,520.2636469990446,2,0,0.0,1102,1899.0,,
GMM,0.7,0.30000000000000004,42,2,MSD,10000,61,6999,3001,0.20234137794287016,2.687159584021246,365.6891446214426,2,0,0.0,2139,862.0,,
DBSCAN,0.7,0.30000000000000004,42,2,MSD,10000,61,6999,3001,,,,1,0,0.0,3001,,7.456032142583126,5.0
KMeans,0.7,0.30000000000000004,1337,2,MSD,10000,61,6999,3001,0.18094039150047703,2.1526620887997434,576.0076391879139,2,0,0.0,1871,1130.0,,
MiniBatchKMeans,0.7,0.30000000000000004,1337,2,MSD,10000,61,6999,3001,0.1446405132011977,2.138228731753071,566.3385631578683,2,0,0.0,1470,1531.0,,
Spectral,0.7,0.30000000000000004,1337,2,MSD,10000,61,6999,3001,0.1131091777770579,2.0608786230856913,515.5665703984071,2,0,0.0,1091,1910.0,,
GMM,0.7,0.30000000000000004,1337,2,MSD,10000,61,6999,3001,0.19473084444106828,2.7617297096819353,347.55173394254837,2,0,0.0,2128,873.0,,
DBSCAN,0.7,0.30000000000000004,1337,2,MSD,10000,61,6999,3001,,,,1,0,0.0,3001,,7.456032142583126,5.0
KMeans,0.8,0.19999999999999996,0,2,MSD,10000,61,8000,2000,0.18555923702120777,2.1455995448362972,385.2821257281226,2,0,0.0,757,1243.0,,
MiniBatchKMeans,0.8,0.19999999999999996,0,2,MSD,10000,61,8000,2000,0.16383850662318125,2.2416118858329135,354.71796785533957,2,0,0.0,854,1146.0,,
Spectral,0.8,0.19999999999999996,0,2,MSD,10000,61,8000,2000,0.11040767774149142,2.105619050750578,333.16337875824354,2,0,0.0,1242,758.0,,
GMM,0.8,0.19999999999999996,0,2,MSD,10000,61,8000,2000,0.19589600952394237,2.7316382076858257,238.64372427708224,2,0,0.0,604,1396.0,,
DBSCAN,0.8,0.19999999999999996,0,2,MSD,10000,61,8000,2000,,,,1,0,0.0,2000,,7.456032142583126,5.0
KMeans,0.8,0.19999999999999996,42,2,MSD,10000,61,8000,2000,0.18878899421085063,2.1052334201054976,400.57955154883746,2,0,0.0,1258,742.0,,
MiniBatchKMeans,0.8,0.19999999999999996,42,2,MSD,10000,61,8000,2000,0.18301792665506267,2.1116129151019356,400.48564274029434,2,0,0.0,779,1221.0,,
Spectral,0.8,0.19999999999999996,42,2,MSD,10000,61,8000,2000,0.11621869192013738,2.0311960313373603,354.2699675424252,2,0,0.0,1262,738.0,,
GMM,0.8,0.19999999999999996,42,2,MSD,10000,61,8000,2000,0.19981286129675288,2.64665366705538,254.13722597564134,2,0,0.0,1404,596.0,,
DBSCAN,0.8,0.19999999999999996,42,2,MSD,10000,61,8000,2000,,,,1,0,0.0,2000,,7.456032142583126,5.0
KMeans,0.8,0.19999999999999996,1337,2,MSD,10000,61,8000,2000,0.17954688538684885,2.1559646663862093,383.96196585445676,2,0,0.0,750,1250.0,,
