Feature,Mean,Std,Min,Max,Q1,Median,Q3
spec_centroid_mean,3.4297159868988627e-16,1.000020012607945,-2.787830908660285,8.469018345471765,-0.6917802447482206,0.004025381884003251,0.645406746851218
spec_rolloff_mean,-2.3149160972932624e-16,1.000020012607945,-2.6081586840876367,3.8556384981233482,-0.7084011831542428,0.04111284383995757,0.6948868810686099
zcr_mean,-2.7301221786259604e-16,1.0000200126079448,-1.9751455451242024,14.880288129614994,-0.6987593028349879,-0.14099657782035077,0.5099165146714995
rms_mean,-3.0031343964885564e-16,1.000020012607945,-1.8922255558594117,7.574908641092437,-0.7408293564373498,-0.09044344411771706,0.6231509322197231
tempo,-2.5708650515394457e-16,1.000020012607945,-4.136766997490619,5.748672756314686,-0.7148840057887826,-0.0927234618429944,0.5458097279961048
mfcc1_mean,-4.550203631043267e-18,1.0000200126079448,-9.465323127307574,2.8120983782478723,-0.5652438983028666,0.1657557288850977,0.7185405745458561
mfcc1_std,-4.834591357983471e-17,1.000020012607945,-2.0529291810839987,7.209794198237677,-0.7341324374044402,-0.15825276950680608,0.5489632716706037
mfcc2_mean,4.550203631043267e-17,1.000020012607945,-6.142211944237494,4.33095136163896,-0.6790823376452586,-0.11634861333347679,0.5691806870469349
mfcc2_std,5.232734175699757e-17,1.000020012607945,-2.464900102841019,6.3722209780598815,-0.7385117825012822,-0.1382337801800157,0.5817967250272071
mfcc3_mean,-4.550203631043267e-18,1.000020012607945,-5.1968518151694045,4.631705759630196,-0.5424883762020453,0.06292930215805691,0.6197119674658588
mfcc3_std,-1.3878121074681964e-16,1.000020012607945,-2.55232319578083,7.893962992960728,-0.7184556615017045,-0.1403178879719804,0.5673332844752588
mfcc4_mean,4.0951832679389406e-17,1.000020012607945,-6.351205565113825,5.267446115236918,-0.4872709791929795,0.05531601877564769,0.5832269713467721
mfcc4_std,-9.100407262086534e-18,1.000020012607945,-2.7857632487971475,9.740656481303647,-0.7171838516606339,-0.14986355361412412,0.5665106357846356
mfcc5_mean,-1.3650610893129802e-17,1.000020012607945,-6.078835603345767,4.8663885528427775,-0.5404486756008946,0.06264977464158124,0.6174213215107902
mfcc5_std,5.687754538804084e-17,1.0000200126079453,-2.8415470606657354,7.7567285625609745,-0.7276971143323004,-0.17095859613161998,0.5642612344722328
