dataset,k,affinity,silhouette,calinski_harabasz,davies_bouldin
fma_small_clustering,6,rbf,0.06135948564852898,482.013102191756,2.6034133578785226
fma_small_clustering,8,rbf,0.03246654512174052,366.51445994900376,2.71607795761453
fma_small_clustering,10,rbf,0.025553443988537393,330.24409441614154,2.73506158542788
fma_small_clustering,12,rbf,0.010164330213331631,270.8208852756915,2.9420505277298745
fma_small_clustering,6,knn,0.06158621486047608,488.55133125812085,2.213854724150594
fma_small_clustering,8,knn,0.04277879936310742,400.6891075785001,2.2804168914058955
fma_small_clustering,10,knn,0.03933676612716369,347.46971832514566,2.603957956173882
fma_small_clustering,12,knn,0.033163158643041264,303.41376256106724,2.7492796756501288
gtzan_clustering,6,rbf,0.10835573575868027,87.19530553984008,2.5418086556122343
gtzan_clustering,8,rbf,0.09369195938902362,67.2304180766121,2.64320153236567
gtzan_clustering,10,rbf,0.06217889703673442,55.19864638329766,2.5730330596226034
gtzan_clustering,12,rbf,0.04134982332704971,43.80399254365035,2.755672441911368
gtzan_clustering,6,knn,0.09546280148354518,89.3647247221723,2.23921125678845
gtzan_clustering,8,knn,0.06648695855035662,72.78556467085487,2.443633841257884
gtzan_clustering,10,knn,0.05586844788577231,60.6028269003015,2.4381471646215096
gtzan_clustering,12,knn,0.053459640321092385,53.75987830032282,2.5578582143669637
instrumental_clustering,6,rbf,0.06220275284711821,32.278776173645554,2.5890530842311086
instrumental_clustering,8,rbf,0.057295571789757964,29.741952954530845,2.59134156825069
instrumental_clustering,10,rbf,0.0503884250867612,24.08754565906861,2.6327821954183097
instrumental_clustering,12,rbf,0.041537998690832516,20.669803979740426,2.681559955908463
instrumental_clustering,6,knn,0.06733846129450594,36.544921388584946,2.5800548472739613
instrumental_clustering,8,knn,0.04521634238103222,29.015540560321604,2.7073114102652847
instrumental_clustering,10,knn,0.047093014098364125,25.93337160046886,2.623540095067944
instrumental_clustering,12,knn,0.04387599945748398,23.54615983734546,2.5604172908980605
