algo,train_ratio,test_size,random_state,n_clusters,dataset,total_samples,n_features,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,max_cluster_size,avg_cluster_size,noise_points,noise_ratio
KMeans,0.5,0.5,0,30,spotify,20000,14,0.10598131586949558,1.8882861576789318,609.8758338868078,4,545,333.3333333333333,,
MiniBatchKMeans,0.5,0.5,0,30,spotify,20000,14,0.09485587385063377,2.0385607214669617,584.2496508279587,34,566,333.3333333333333,,
Spectral,0.5,0.5,0,30,spotify,20000,14,0.11010817125145525,1.9590156313270373,586.204316296884,22,774,333.3333333333333,,
GMM,0.5,0.5,0,25,spotify,20000,14,-0.02399709798914261,3.74702459722667,335.1317082937111,4,1308,400.0,,
DBSCAN,0.5,0.5,0,6,spotify,20000,14,0.01905507830217642,2.3343153596660517,383.2116152769729,107,6959,1666.6666666666667,0.0,0.0
AgglomerativeWard,0.5,0.5,0,30,spotify,20000,14,0.10165868553426405,1.8621551917750958,590.9333480387819,5,717,333.3333333333333,,
AgglomerativeAverage,0.5,0.5,0,28,spotify,20000,14,,,,1,6123,357.14285714285717,,
Birch,0.5,0.5,0,30,spotify,20000,14,0.05496133150514936,2.2135232007376557,477.72806502191906,4,973,333.3333333333333,,
KMeans,0.5,0.5,42,30,spotify,20000,14,0.10934408964931168,1.89266579899386,609.1730449110206,5,648,333.3333333333333,,
MiniBatchKMeans,0.5,0.5,42,30,spotify,20000,14,0.10424631567670845,1.9572780201733648,584.7723640723293,66,720,333.3333333333333,,
Spectral,0.5,0.5,42,30,spotify,20000,14,0.11327446280562563,1.8570840561398458,571.8871297126126,20,857,333.3333333333333,,
GMM,0.5,0.5,42,28,spotify,20000,14,,,,1,1170,357.14285714285717,,
DBSCAN,0.5,0.5,42,6,spotify,20000,14,0.03419015871739819,2.2296440418943977,427.9373498176648,111,6898,1666.6666666666667,0.0,0.0
AgglomerativeWard,0.5,0.5,42,30,spotify,20000,14,0.1088149311813655,1.8575903931596327,598.1248086743533,5,757,333.3333333333333,,
AgglomerativeAverage,0.5,0.5,42,29,spotify,20000,14,,,,1,5201,344.82758620689657,,
Birch,0.5,0.5,42,30,spotify,20000,14,0.0576104397959511,2.1100057930107075,464.2448306672432,4,783,333.3333333333333,,
KMeans,0.5,0.5,1337,30,spotify,20000,14,0.11430240961152338,1.849059628550575,612.0511602759392,6,727,333.3333333333333,,
MiniBatchKMeans,0.5,0.5,1337,30,spotify,20000,14,0.09116069667607885,2.0283362972740897,579.9532762217125,30,600,333.3333333333333,,
Spectral,0.5,0.5,1337,30,spotify,20000,14,0.1097867522900719,1.9285368825758942,570.7913395060311,17,806,333.3333333333333,,
GMM,0.5,0.5,1337,28,spotify,20000,14,-0.034301736339078584,3.793158425037139,287.7163561456386,2,1522,357.14285714285717,,
DBSCAN,0.5,0.5,1337,6,spotify,20000,14,0.029533752797941196,2.313981885856142,419.2180164034341,127,6874,1666.6666666666667,0.0,0.0
AgglomerativeWard,0.5,0.5,1337,30,spotify,20000,14,0.10671161886685904,1.887149032770045,596.8069658101552,6,673,333.3333333333333,,
AgglomerativeAverage,0.5,0.5,1337,26,spotify,20000,14,,,,1,5031,384.61538461538464,,
Birch,0.5,0.5,1337,30,spotify,20000,14,0.046526972295339815,2.230130713982973,464.1866571620466,5,732,333.3333333333333,,
KMeans,0.6,0.4,0,30,spotify,20000,14,0.11602937061851469,1.8528800286554272,491.3688120148374,4,524,266.6666666666667,,
MiniBatchKMeans,0.6,0.4,0,30,spotify,20000,14,0.1024985262251018,2.031428322983765,464.24313293797564,67,587,266.6666666666667,,
Spectral,0.6,0.4,0,30,spotify,20000,14,0.11315886503644326,1.8625526467689804,460.4115306404847,12,672,266.6666666666667,,
GMM,0.6,0.4,0,26,spotify,20000,14,-0.03296890100064381,3.875429179171194,242.39891473228863,3,1134,307.6923076923077,,
DBSCAN,0.6,0.4,0,6,spotify,20000,14,0.012936882455155674,2.3364735271111243,304.8100115577433,85,5586,1333.3333333333333,0.0,0.0
AgglomerativeWard,0.6,0.4,0,30,spotify,20000,14,0.10555472777333574,1.8522256635335166,475.2000508286854,3,564,266.6666666666667,,
AgglomerativeAverage,0.6,0.4,0,28,spotify,20000,14,,,,1,5558,285.7142857142857,,
Birch,0.6,0.4,0,30,spotify,20000,14,0.06014999551621909,2.0903796140317428,380.177508769456,3,792,266.6666666666667,,
KMeans,0.6,0.4,42,30,spotify,20000,14,0.10534156366819773,1.9114222058811536,490.65573981788566,4,485,266.6666666666667,,
MiniBatchKMeans,0.6,0.4,42,30,spotify,20000,14,0.09409612458278419,2.049000000383543,453.05623217666863,54,498,266.6666666666667,,
Spectral,0.6,0.4,42,30,spotify,20000,14,0.1122707312915114,1.849834370196896,457.0010330797861,13,645,266.6666666666667,,
GMM,0.6,0.4,42,26,spotify,20000,14,-0.027012020203900148,4.240672619656478,260.56352980143197,7,1346,307.6923076923077,,
DBSCAN,0.6,0.4,42,7,spotify,20000,14,0.007991280671836347,2.146992028598232,303.5765564810596,79,5417,1142.857142857143,0.0,0.0
AgglomerativeWard,0.6,0.4,42,30,spotify,20000,14,0.10871759892061056,1.847364114892095,477.96801373635367,4,554,266.6666666666667,,
AgglomerativeAverage,0.6,0.4,42,27,spotify,20000,14,,,,1,5083,296.2962962962963,,
Birch,0.6,0.4,42,30,spotify,20000,14,0.0558252337136096,2.2069620166834536,375.82354084888993,3,636,266.6666666666667,,
KMeans,0.6,0.4,1337,30,spotify,20000,14,0.1080245494594625,1.8521432414360137,495.48410441438926,6,556,266.6666666666667,,
MiniBatchKMeans,0.6,0.4,1337,30,spotify,20000,14,0.09901227698018547,1.9980245798182847,471.1810208148645,44,549,266.6666666666667,,
Spectral,0.6,0.4,1337,30,spotify,20000,14,0.10870105092070267,1.9135586477137714,454.0937914477319,9,729,266.6666666666667,,
GMM,0.6,0.4,1337,28,spotify,20000,14,,,,1,931,285.7142857142857,,
DBSCAN,0.6,0.4,1337,8,spotify,20000,14,0.006003100490948016,2.40282399432529,372.94528634486693,75,5190,1000.0,0.0,0.0
AgglomerativeWard,0.6,0.4,1337,30,spotify,20000,14,0.1067253286637117,1.8160058882514947,483.2354699245149,4,574,266.6666666666667,,
AgglomerativeAverage,0.6,0.4,1337,27,spotify,20000,14,0.014383617149460117,1.6910468395599678,197.99655544450673,2,4914,296.2962962962963,,
Birch,0.6,0.4,1337,30,spotify,20000,14,0.054270323987853406,2.1473122222474257,380.9391414991914,4,728,266.6666666666667,,
KMeans,0.7,0.30000000000000004,0,30,spotify,20000,14,0.10626809417007725,1.8364798861159657,367.7306880323182,4,388,200.03333333333333,,
MiniBatchKMeans,0.7,0.30000000000000004,0,30,spotify,20000,14,0.10425394576242322,2.0080316966809315,346.1503727867281,34,535,200.03333333333333,,
