,duration,sr,spec_centroid_mean,spec_rolloff_mean,zcr_mean,rms_mean,tempo,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc14_mean,mfcc14_std,mfcc15_mean,mfcc15_std,mfcc16_mean,mfcc16_std,mfcc17_mean,mfcc17_std,mfcc18_mean,mfcc18_std,mfcc19_mean,mfcc19_std,mfcc20_mean,mfcc20_std,chroma1_mean,chroma1_std,chroma2_mean,chroma2_std,chroma3_mean,chroma3_std,chroma4_mean,chroma4_std,chroma5_mean,chroma5_std,chroma6_mean,chroma6_std,chroma7_mean,chroma7_std,chroma8_mean,chroma8_std,chroma9_mean,chroma9_std,chroma10_mean,chroma10_std,chroma11_mean,chroma11_std,chroma12_mean,chroma12_std
duration,1.0,,-0.00689996440427139,-0.00308924976341677,-0.010744911660370636,0.019369294183373152,-0.017075703493640904,0.030795637512685763,-0.040677113826039744,0.006791660595559405,-0.02258919511870881,0.011016584647922986,-0.024121865824120223,0.02997705779011628,-0.02233760114984245,-0.00066876780749816,-0.03341338827580938,0.023881122528904085,-0.023204262133402122,0.019747210044286246,-0.02948902861519448,0.008550740870653172,-0.017954024055396915,0.01480128319853832,-0.02618448574388427,-0.0022822749115075404,-0.012938124940897867,-0.004895286217041328,-0.022222142347754468,0.011997034916288283,-0.019877982971801652,0.002053416965155955,-0.0065086668723687135,0.005637692879847205,-0.0029930763947684444,0.0022478469616149517,-0.0034866822434907454,0.0015640503546309754,0.0035055283543468656,0.0020024387759967526,-0.0061455674545100305,-0.0012594841623505488,-0.0016045806933070352,-0.0057489707602898866,0.0019130906219612125,0.012403858728899268,0.0032741229697192133,0.005591132525934789,0.006711174537168362,0.002491072141083028,-0.007778342216490971,0.010033455872160679,0.006495710398880768,0.004452022499799817,-2.282824263371962e-05,0.007702415517741856,0.008268845322795234,0.003115769874527863,-0.0022679833433253173,0.00041527514399744694,-0.008716193712662051,-0.0051742580725600285,-0.011593742872757993,-0.007382276255175358,-0.01709507129550784,-0.01085653196578067,-0.007167580694762679,-0.005873480352557142,-0.009667741410041444,0.007734127450568277,0.004783959604933399
sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spec_centroid_mean,-0.00689996440427139,,1.0,0.9681742261906586,0.8223293546297086,0.2361295318307008,0.02733465552031098,0.5824881721445888,-0.0680117304096316,-0.9090110689866511,-0.01739316098864205,-0.006280218398175114,-0.09094907865572527,0.051464042838687246,-0.020524198492815154,-0.09753569172987271,-0.02753065176919767,0.18783640084475667,-0.02851437414501826,0.03415289169636426,-0.01714818998554595,0.27112822354781496,-0.026773033586146012,0.11365494324150398,-0.038691314976278306,0.303662083674623,-0.06324997965968349,0.1441697733104256,-0.08204727506546299,0.3019964783505151,-0.10737427851918699,0.1047048298809183,-0.11122563338359347,0.25495356042418926,-0.10806626809025266,0.07001434915716068,-0.12390940685437159,0.245342824772421,-0.1475546794093393,-0.017421790052722822,-0.15378625800657866,0.18091373151419937,-0.15484514165846483,0.011542463276658319,-0.16217489557380924,0.17064803545122822,-0.17351477211069144,0.26393121140648357,0.02361759407096568,0.30187749158465954,0.09745992381143587,0.2458615449896294,-0.00802859203885734,0.3021312428460722,0.0991421640532408,0.27480196456561556,0.04030041518602714,0.27116008879044873,0.06588970899208407,0.2956255094027932,0.09695801941896529,0.25984524568507905,0.00990360452819297,0.304106088099819,0.11658438915978608,0.2543955338334762,0.011862574887170806,0.2979992975163433,0.07706493899947063,0.29764706934017077,0.06021299924391642
spec_rolloff_mean,-0.00308924976341677,,0.9681742261906586,1.0,0.6813868975352758,0.2889933176452685,0.017365606036770478,0.6128598089079415,-0.054944088926531444,-0.9020788163971536,-0.010586177025384084,0.12194748855243578,-0.09821704014447945,0.09461254853804667,-0.03055505132467492,-0.02208976467445197,-0.04047535043764391,0.28001485498533285,-0.04462077809489738,0.10665810553658289,-0.03662242659490473,0.3401837383686565,-0.04145077911290396,0.17457799420803286,-0.056392076908699074,0.3660008966436082,-0.08305772637556585,0.19725248759178698,-0.10117010542072284,0.35642554025122575,-0.12842231415286265,0.1486206813706977,-0.1299964475932192,0.3014885961674216,-0.12636596044249312,0.10771966235349564,-0.14279835097181706,0.280923989402558,-0.16808811854639738,0.0010675605552275173,-0.17616904685983992,0.21760388846053075,-0.17671368169374194,0.028166357800441327,-0.18581255289602722,0.19274005686175352,-0.19991456119096646,0.29042097813372103,0.038693870584057745,0.32068728959817544,0.0946300000212506,0.26407563873615475,-0.0040883344802981345,0.3228992419071047,0.10530264753199879,0.29635875546865825,0.04581227035429524,0.30214754849488257,0.08446647014825492,0.3206203359273869,0.0969217351938807,0.291141443003693,0.02270349046647647,0.3349932203644769,0.12700240157215148,0.2849439509369366,0.023520980644768597,0.3270605726257342,0.0800193902409502,0.3164246215267379,0.05450766958527529
zcr_mean,-0.010744911660370636,,0.8223293546297086,0.6813868975352758,1.0,0.03462170081512578,0.04246440140928487,0.3910126857631601,-0.14162614363731074,-0.660014253968646,-0.09783883153173503,-0.30849255384192886,-0.10750147797282451,-0.05777189278401496,-0.04682170633961649,-0.27968898463880476,-0.04337575789816111,-0.07384427000020563,-0.040361706679054185,-0.16825869034800217,-0.020901114010524243,0.029438423397883117,-0.033143471779679065,-0.06529495470403425,-0.030710173924971797,0.07003408193079223,-0.03725604064086314,-0.0335128642967953,-0.04784088842909099,0.09132580936071652,-0.056295269321649265,-0.041609428149406415,-0.06560799870293657,0.06502252709156106,-0.061078073993654544,-0.06018026903072555,-0.07518318464936165,0.08148094491660934,-0.0906927933701069,-0.07833029897359936,-0.09109469452533243,0.020956332174470498,-0.08672387600108925,-0.052455479937562145,-0.08392361823697135,0.05340422253175645,-0.07908161201339252,0.1283844923815775,-0.03476987824648418,0.17495110960244376,0.06597743201430799,0.14143022767648403,-0.019255557706292514,0.16680811092127487,0.03483384094199189,0.15611351234088214,0.01650815685074398,0.1201307427647772,-0.01781047868136958,0.1607712432339328,0.06430259540249443,0.12230840479116718,-0.023331605997421952,0.1392011775377707,0.03586119870968553,0.11058240460690907,-0.027612299038917095,0.13796562851611893,0.028170930575839925,0.1760895837669437,0.05157465341787437
rms_mean,0.019369294183373152,,0.2361295318307008,0.2889933176452685,0.03462170081512578,1.0,-0.006587908681221886,0.7207891678352772,-0.1552549490545117,-0.23220589803594793,-0.03188253277020907,0.10706161414525701,-0.10658343927925151,0.19789351323257273,-0.07340084094023057,0.13581052527590634,-0.10959897669354221,0.2933696414718539,-0.12445505392461867,0.23502586121139704,-0.13111055637623215,0.3352108444952336,-0.14304928150614463,0.25402872561178863,-0.16595142338105962,0.30753893478919075,-0.17752281643734896,0.23100063049051153,-0.1949755882589368,0.30288978481332784,-0.2094146525100203,0.1772342045867768,-0.21288091019102215,0.24148514465187404,-0.21569942803104425,0.12773732120498926,-0.21665981559412514,0.21501849607292647,-0.2330166313101322,0.04816727318275159,-0.23857831312832958,0.16423412196044462,-0.24563245392653157,0.07539677060181191,-0.24579632052964062,0.13492365852650873,-0.26090887650069333,0.23450724673256204,-0.042167965200247695,0.2525901973232346,-0.014109079968743655,0.2122824947615594,-0.0768706507505804,0.26122954381451746,0.0017288803424369452,0.25315966803500745,-0.0257422292920774,0.262487707008534,0.00804854915616262,0.2599218386214678,-0.014864353788342164,0.239801164471454,-0.059672368663065314,0.28703841187308254,0.023624636935262008,0.2517219173664298,-0.03715917076762873,0.2701832688693346,-0.02928642606894242,0.2558432407146025,-0.044455377644199656
tempo,-0.017075703493640904,,0.02733465552031098,0.017365606036770478,0.04246440140928487,-0.006587908681221886,1.0,0.03643082175623372,-0.017818835370737595,-0.019797563669263125,-0.027788177893330816,-0.06962037984959538,-0.02302965930906218,0.0006281023494516042,-0.0314966471996311,-0.03797856908475555,-0.025576485280581544,-0.018016692954159613,-0.03777042177092724,-0.026440334755848695,-0.03385640880879425,-0.005175558099955435,-0.033232047946333935,-0.014244137705051922,-0.031974772292989444,-0.004092776365067982,-0.027898065746133002,-0.021861908659589552,-0.022760212784716773,-0.009740047962502836,-0.024390661357819494,-0.0227137414844975,-0.025784131143827875,-0.021788342182539135,-0.023473781755203857,-0.021539686691520156,-0.024080037481015303,-0.011044119527722919,-0.023626117734437194,-0.02859864567386391,-0.016436502192284565,-0.02554155032794677,-0.013597130971692394,-0.027213539516984925,-0.012146997284670889,-0.016144388666011315,-0.006079622273880567,-0.01010824617316271,-0.009233386905885418,0.00035961732180531163,0.0035213174378188796,0.009615444321319831,0.007204604621165998,-0.0003180587820839983,-0.006591680130655002,0.008452696664613074,0.014279806103440006,-0.0028971455048389283,-0.014831754531451115,0.017887855019805353,0.022470971856900286,0.0009802495116341058,-0.000107567242259029,-0.004625524324465092,-0.004859821479513256,0.003091959427413336,0.008959769693248203,-0.0004944045257497061,-0.0002964320778367231,0.010771355565869962,0.022342346733404867
mfcc1_mean,0.030795637512685763,,0.5824881721445888,0.6128598089079415,0.3910126857631601,0.7207891678352772,0.03643082175623372,1.0,-0.35286008036173155,-0.4805507155287817,-0.2266127957179562,-0.13843454000598623,-0.30560118162270317,0.2487217226935714,-0.24235269927159425,-0.06585861568310154,-0.27285994704024424,0.2628367478190753,-0.2877488548553764,0.11073764357125854,-0.29136808253939606,0.3476445830985859,-0.3101856399110891,0.17446257228060075,-0.3314954209633295,0.33776421644622007,-0.34101296480176796,0.1547798033266331,-0.36476645570512267,0.33241273171455804,-0.38065840856908356,0.08396355559562722,-0.38768249374816743,0.21696404491218502,-0.38574528970492505,-0.008341233967488301,-0.3894090055732196,0.1884027956316416,-0.39911242675739933,-0.10917816360092145,-0.40071566078622534,0.11381829690305834,-0.40088857529559346,-0.05133444495110271,-0.3976377696604588,0.08742166516800352,-0.4057891189596248,0.26248041396137156,-0.06982075054561793,0.31387468606198254,0.012737749418739572,0.2835353402684649,-0.06243176257155893,0.32530446787937045,0.007674088587435736,0.34126016378621443,0.018501411733143177,0.3088714371150584,-0.00897921326446558,0.3339176819131306,0.041418330005666235,0.2941031446673178,-0.04068607248340358,0.3298562978817298,0.030002843781823836,0.29823190469573124,-0.0317485444518072,0.29914928723061324,-0.032123460882416584,0.32175385420984054,-0.005439323110752736
mfcc1_std,-0.040677113826039744,,-0.0680117304096316,-0.054944088926531444,-0.14162614363731074,-0.1552549490545117,-0.017818835370737595,-0.35286008036173155,1.0,-0.05506532999639461,0.6962216239618377,0.2788862481112115,0.6307748816665952,-0.035977443819411946,0.5509452218873281,0.16563474216533974,0.5459240976105852,0.09128433379479245,0.5238707388349533,0.11520577300894384,0.5068251338723453,0.015996605696626698,0.5065331893258352,0.06370494474656443,0.48872479443923106,0.022224386327306882,0.44682296917701564,0.0880055555460093,0.42890069514513046,0.004144056549649086,0.404569791814696,0.10610452995439947,0.39128802218341263,0.036503910996804806,0.3813258313300827,0.12821494427502428,0.36526240713876673,0.039737701351665225,0.34773072241009184,0.10949223629000748,0.3430376999473728,0.06495056501366328,0.3178988352932539,0.09181243135548328,0.29402804889997847,0.039692772878824126,0.27060532046874636,0.01998678933435815,0.20498819359777,-0.009642339649319548,0.16261157088718842,-0.025828575797680466,0.15783389692816946,-0.012258420913987664,0.19331028177888293,-0.05888289657675426,0.11926823322675913,-0.004477011833917999,0.19790466764713488,-0.023303267740464245,0.1327377555811866,-0.0022624685323863977,0.1647767785440206,0.00879039592582465,0.1980118405005241,-0.0071672620316807,0.16609232327109189,0.02941826310440386,0.1970534864886002,-0.015926540305743697,0.14320970596814153
mfcc2_mean,0.006791660595559405,,-0.9090110689866511,-0.9020788163971536,-0.660014253968646,-0.23220589803594793,-0.019797563669263125,-0.4805507155287817,-0.05506532999639461,1.0,-0.04575463814708286,-0.11033279896233597,0.029814594506527518,-0.16723989965952252,-0.040551355985164364,0.010616342091196732,-0.044120294047611704,-0.28241036494688027,-0.043784994082248306,-0.11167379309596745,-0.06510803900787762,-0.3223098402761749,-0.04930339730470706,-0.16301507618628328,-0.04568452241252706,-0.34718568590563115,-0.02413491892468504,-0.1784836667181236,-0.006109652460079781,-0.32686173552855824,0.018280487374088866,-0.13324517387980117,0.01637163947634716,-0.27704133799757374,0.013341622612511614,-0.09922374336003961,0.023544510780762647,-0.2653702592641032,0.045059265257544695,-0.009163740117207225,0.050254181742641985,-0.21516820853965551,0.05598324647748249,-0.03630044533329411,0.06366512376919319,-0.19547205738330595,0.07847524885300101,-0.2439827910541523,-0.0635624637606426,-0.27329690554861535,-0.11155775749970422,-0.22069047498991107,-0.022295024569659212,-0.2778640937197453,-0.12616876312596845,-0.2484809294247148,-0.06253625029267307,-0.2621986572322305,-0.10845296690157975,-0.2785486336929651,-0.11401734664831893,-0.2475377620425879,-0.0457562016431613,-0.2936734147252269,-0.14948088988275618,-0.24043088918549196,-0.04911708273642525,-0.28356334839004815,-0.10575168688981308,-0.2692078974757216,-0.07707114717634103
