Feature 1,Feature 2,Correlation
spec_centroid_mean,spec_rolloff_mean,0.9724523856759787
spec_centroid_mean,mfcc2_mean,-0.8991446094849694
spec_rolloff_mean,mfcc2_mean,-0.8901207457857223
mfcc19_std,mfcc20_std,0.8556137870461443
mfcc16_std,mfcc17_std,0.8535713754902077
mfcc18_std,mfcc19_std,0.8502436974787927
mfcc17_std,mfcc18_std,0.845153217604205
mfcc14_std,mfcc15_std,0.8394417462762072
spec_centroid_mean,zcr_mean,0.8387727744267379
mfcc13_std,mfcc14_std,0.8316917210907521
mfcc15_std,mfcc16_std,0.8278158844573624
mfcc12_std,mfcc13_std,0.8235593217370668
mfcc11_std,mfcc12_std,0.8136253242773663
mfcc7_std,mfcc8_std,0.8020015375986274
mfcc10_std,mfcc11_std,0.8017830658931484
mfcc8_std,mfcc9_std,0.8009923211575007
mfcc9_std,mfcc10_std,0.800114963518251
