,duration,sr,spec_centroid_mean,spec_rolloff_mean,zcr_mean,rms_mean,tempo,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc14_mean,mfcc14_std,mfcc15_mean,mfcc15_std,mfcc16_mean,mfcc16_std,mfcc17_mean,mfcc17_std,mfcc18_mean,mfcc18_std,mfcc19_mean,mfcc19_std,mfcc20_mean,mfcc20_std,chroma1_mean,chroma1_std,chroma2_mean,chroma2_std,chroma3_mean,chroma3_std,chroma4_mean,chroma4_std,chroma5_mean,chroma5_std,chroma6_mean,chroma6_std,chroma7_mean,chroma7_std,chroma8_mean,chroma8_std,chroma9_mean,chroma9_std,chroma10_mean,chroma10_std,chroma11_mean,chroma11_std,chroma12_mean,chroma12_std
duration,1.0,,0.03718524324346853,0.030378824167928434,0.020584965372920733,0.02533152046542339,-0.008473902457237246,0.020657130626273317,0.0069271240963513885,-0.051470391295029644,0.08809367479140606,0.055063492974045024,0.024210891447653506,-0.08116520551194341,-0.017571701109172805,0.07406418863795171,0.009093493851449502,-0.07051001246715441,-0.011661386341286618,0.07038481983612173,0.013441774157557486,-0.06323346439605078,0.006628342420430842,0.07942545388811552,-0.005441168775712155,-0.03805548485617785,0.01478029574993197,0.11506840116840221,0.0009150142479603937,-0.01940989561045337,0.03219325298720224,0.09950411227519237,0.011851405752210754,-0.029351751914954417,-0.006766412193032836,0.06989491070109236,0.02353206482167947,-0.02700954265581971,0.028117581095290046,0.007888048955676463,0.013463983065189162,-0.022766476002607984,0.029799248287032048,3.750782913749337e-05,0.050744758628481684,0.03130167357206323,0.0517315735765088,0.008540363666861901,0.01283103156204501,0.02708978631215945,0.04482318106706948,0.026787894327881524,0.04500123581367585,0.028244475121594014,0.03773599512926138,0.02486681473972031,0.02417626186341187,-0.013686086476879697,-0.0030562039666870455,-0.026303683682329552,-0.004969315184394118,-0.0018854639647973117,0.040749707846364,-0.0089635168514381,0.003425601312854432,-0.010237650468702314,0.01813736238161147,-0.03693315862190377,-0.02716443018778954,-0.01801036811211635,-0.01589018992978766
sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spec_centroid_mean,0.03718524324346853,,1.0,0.9796183490639829,0.8746706332717117,0.5107926497248667,-0.02172967789534021,0.7214569992645666,-0.23914872958619113,-0.9404522099252551,-0.04535811611303319,0.18828883030891547,-0.0884052094697514,-0.13781230237142486,0.15985675115039955,0.0697154120390219,-0.06326492579334815,0.01660730632656147,0.16648587541679646,0.21630253430992089,0.04118024858605534,0.1336926337556228,0.050762625334045706,0.2897148108416324,-0.0645304824356127,0.1923536654586058,-0.06304882373939484,0.15335845634644568,-0.15688755732105913,0.1743229032950985,-0.23464349671576076,0.05176177804348717,-0.22454490054474577,0.17045534786909894,-0.22977894917467048,0.023342654460726538,-0.22468582869837458,0.1534218580162045,-0.1935034065537688,0.027558568522322333,-0.1690309422122774,0.22788068950099305,-0.14179303596084608,0.027885865037602712,-0.14875894422222266,0.2694044126528473,-0.2122204220487703,0.3918289796009886,-0.11870932673670047,0.49332998195030614,0.17800725275872675,0.41034848108248695,-0.06622657815712593,0.47748301830800927,0.09958403793911837,0.4293272061910381,0.037510214645098745,0.3778035572160539,-0.1000133473910262,0.48335738475847184,0.17360922653426775,0.46022872070915505,-0.051011768238900065,0.4678811627283791,0.09134733086638926,0.38542269261382345,-0.060763424559099985,0.3851874891575677,-0.05501759952076017,0.4339307248514648,0.050140249061660924
spec_rolloff_mean,0.030378824167928434,,0.9796183490639829,1.0,0.7796656239338648,0.5384425135983288,-0.026845161149182124,0.722316496809901,-0.22675681965743583,-0.9346082865862234,-0.04848612041915117,0.2959123501814886,-0.07863758359109572,-0.15709653054786993,0.17534170383457348,0.12487803712234195,-0.04648961870416118,0.03372540597746883,0.18805350221223296,0.2502450613772855,0.054191378457719076,0.13701762903819897,0.060923597160179914,0.31196467279471163,-0.052594969159723455,0.18448296831452454,-0.050326148302499034,0.1744951632488792,-0.15594847726330247,0.16221788368564097,-0.24143945668201924,0.08222569546004116,-0.23319196024950564,0.15831459023157682,-0.23304991111740922,0.03308091143927354,-0.2265000689277591,0.132108050333422,-0.18972377268572135,0.039785874063835804,-0.1630259626061636,0.20484098995165817,-0.1326153396147805,0.04823637160199204,-0.14083976373263157,0.2563687542615535,-0.21377990670296462,0.3830048203400654,-0.09230351076352358,0.4817764837616187,0.21030403806019057,0.3922406353684076,-0.053846685591197006,0.4671126426940622,0.13352572547182312,0.40624805203264314,0.056463829581219115,0.36511723707775884,-0.06748904102048002,0.4764886184899494,0.21044155177611062,0.44830440720513026,-0.028174027784563023,0.45694774716985254,0.12322117011303986,0.3662939199542327,-0.051055661805079214,0.3810646084672156,-0.021732972414852423,0.42345674254412535,0.07010620951454766
zcr_mean,0.020584965372920733,,0.8746706332717117,0.7796656239338648,1.0,0.33291259190926376,0.012048293116412517,0.6347602647099231,-0.32143598246899957,-0.7603497986094511,-0.16887965051282403,-0.17968309157433202,-0.20949412365427386,-0.008745908069487832,-0.010997814412265248,-0.20060059245621356,-0.18241099958850918,0.06853161228010402,-0.0002578846842170289,-0.030179667196979804,-0.0672835120326333,0.1967434756737067,-0.05631975228305202,0.07602647294876766,-0.153419701377757,0.27538458003355093,-0.13937475093890395,-0.044009150377380124,-0.18757633081936126,0.2624606790758962,-0.22397024996222606,-0.14174516697589895,-0.20640348612142193,0.24051555193412982,-0.2152581390350684,-0.10619751813144329,-0.21101323274714012,0.24910686632566187,-0.2106103456374455,-0.07691913968315577,-0.19467495244152447,0.296903823287122,-0.15896948607333722,-0.07463298984232768,-0.15713367195132716,0.3049824496132832,-0.20128038684110175,0.34385329969262446,-0.1755831126531741,0.42429588402736523,0.03957639445948421,0.383716940274219,-0.10843968101125037,0.4191732018991276,-0.027018922216672594,0.4244231955685459,-0.022283063641730334,0.3618684642208484,-0.17126614252348685,0.42935977481779203,0.04677977350404665,0.4301526299244918,-0.10367807241084379,0.40842273774174803,-0.02856049263034173,0.35692375875308,-0.11430080621045377,0.32290688561690234,-0.1367378221968953,0.3731093511584934,-0.030002789343251627
rms_mean,0.02533152046542339,,0.5107926497248667,0.5384425135983288,0.33291259190926376,1.0,-0.053894244856466336,0.8074777451446538,-0.20959564704310646,-0.4840508281726503,-0.025558666617574083,0.1391175454872798,-0.016129609848127203,0.009236164632210227,0.2009073273372456,0.10906825892495017,0.0868210439457833,0.12554623577717275,0.22290885508338948,0.16802727374127194,0.1336378322084729,0.1791912540018986,0.09230632363195776,0.2159039776840662,0.02096903628645976,0.1861741024477127,0.007826642008644209,0.11744865454961394,-0.11155535397917986,0.1831480229923702,-0.18573112558702415,0.013198111847140126,-0.22652115255085373,0.16260377918140284,-0.23400636657490462,-0.011246347623101153,-0.23916831037280428,0.08434897469808002,-0.1827218383848665,-0.02907083068862207,-0.18291448569666416,0.11849172286419403,-0.17885550612464277,0.0312986455717068,-0.22324320386563343,0.12390011297522832,-0.2695834648778364,0.3079850145175067,-0.09395322857224904,0.38702634768523625,0.1438283389216479,0.30876641030223073,-0.07668017751848998,0.4112557595144818,0.13013649697432048,0.33024617647019505,0.023193517796823538,0.2839052631863736,-0.05253756627583379,0.3819170318831686,0.1860288850242296,0.36300239763931597,-0.03568380928623961,0.408329524140178,0.11811393232791038,0.3375655453041191,-0.011376388869246022,0.35540747424997093,0.01395882970023694,0.35613464282263485,0.06925253725696588
tempo,-0.008473902457237246,,-0.02172967789534021,-0.026845161149182124,0.012048293116412517,-0.053894244856466336,1.0,-0.00300310998130103,-0.022807683320186244,0.014287660777122079,-0.06162909996449529,-0.09357098554461966,-0.04461096382675613,0.04125831314116176,-0.04697276685776787,-0.08139269589844977,-0.03680819608035438,0.04716928295755138,-0.09523077544184769,-0.08056400527040886,-0.009659187278390359,0.04149005946735607,-0.06405077793002137,-0.07129374851334157,-0.045561937654951014,0.03659864380166593,-0.03790793884702465,-0.07980310048663052,-0.033532735459979195,-0.02790307889133056,-0.029947563082498966,-0.03841673241898063,-0.0382402509948402,0.010202129307856371,-0.012068009517396838,-0.05313216964205769,-0.03462305922278462,0.02695443643303678,-0.06442041592931183,-0.06740320013540439,-0.06874300012866295,-0.018508395700918112,-0.041742446743890674,-0.06693036204313042,-0.0483302173961455,-0.033204742612026036,-0.043742157542913544,-0.0014447238236277623,-0.014692657027311384,0.0034525084033367264,-0.05838583047436681,0.04766654770632829,0.03467269975098206,0.009346388753629135,-0.061942056911555,0.012952327063962515,-0.02559335470960325,-0.011695674280435117,-0.03823636801884593,-0.011462805468133918,-0.05958806887715652,0.020181585691361248,0.00947514159653848,0.024451774095627474,-0.04447754585340762,0.07461230723567593,-0.0006826211985635048,0.0488794543304528,-5.428982498458289e-06,-0.003807530989572975,-0.06362577662679295
mfcc1_mean,0.020657130626273317,,0.7214569992645666,0.722316496809901,0.6347602647099231,0.8074777451446538,-0.00300310998130103,1.0,-0.43181846032296184,-0.6396184734196069,-0.23466652454537126,-0.10100531721203147,-0.2202897198095417,0.10881454090447813,0.059019559199963774,-0.11421912482242917,-0.09408548573310968,0.23527750560741,0.06877428317933257,0.007764343522719857,-0.021271550413621852,0.33167518625754117,-0.0899948261388877,0.0536352188216854,-0.1880414232148174,0.3402812279584637,-0.19472233904176933,-0.02671758006433128,-0.32142520275344777,0.3314442297385552,-0.39435721794707523,-0.17119079047066896,-0.4391116381955634,0.2518532704276769,-0.42818117235415604,-0.20060208921657785,-0.4173129333651878,0.1859612786954794,-0.37714633719219076,-0.20792137370671937,-0.3731685303614304,0.19989306610333635,-0.338470171271439,-0.12155564616854596,-0.3877447814703524,0.19470345923027974,-0.450757600600256,0.40072908744942504,-0.1682233849610208,0.49285587548577964,0.11715353307705552,0.4286027906076842,-0.10070685757879805,0.5025328449853842,0.03654666933631976,0.48356458002204605,0.022362362346001283,0.41372124018656525,-0.12290606950758665,0.5207746138555067,0.17638277574229805,0.5086656177370897,-0.056009851402806246,0.5051325968067774,0.042858189224813645,0.4556570232489744,-0.052972064954014186,0.4137689811737973,-0.09487770367934382,0.4491258575194278,0.02675113347658153
mfcc1_std,0.0069271240963513885,,-0.23914872958619113,-0.22675681965743583,-0.32143598246899957,-0.20959564704310646,-0.022807683320186244,-0.43181846032296184,1.0,0.16808550518629994,0.6663937610831018,0.24700842647701782,0.6558627743442149,-0.25572260928899965,0.476664126264849,0.33504858829757944,0.5480776488407354,-0.2543009698966235,0.4703996874691581,0.2742674830890385,0.4389703942567398,-0.3176449220907618,0.46698291088937727,0.26624565035496245,0.48265840256497833,-0.2953799891600566,0.44998737412374734,0.2682232130299205,0.43972911001879006,-0.2878303674229996,0.4105504729268412,0.3430585405079367,0.40981403405359773,-0.24876167716284125,0.3471597797169347,0.32591614799989727,0.324465439316474,-0.27017615956075186,0.2714899015500387,0.23406122010679725,0.2623805710115459,-0.16790395511570444,0.21116821952362683,0.19501582907768583,0.2427564027453502,-0.16055864537204342,0.2618050203298185,-0.0663704715532317,0.22750695208716407,-0.13678380922898337,0.047564681899271155,-0.0916171995700113,0.1912326041368019,-0.14654257683319127,0.11354614166063999,-0.18841721417815,0.07207667464295185,-0.125241347461991,0.185719000397462,-0.16063462859362831,0.024993691473846957,-0.16714613939462247,0.10692008473643208,-0.19414814109562076,0.03188914338649191,-0.15434592799900454,0.10737159956474424,-0.06838993657084362,0.1606115577277623,-0.076406478550532,0.1350842219104067
mfcc2_mean,-0.051470391295029644,,-0.9404522099252551,-0.9346082865862234,-0.7603497986094511,-0.4840508281726503,0.014287660777122079,-0.6396184734196069,0.16808550518629994,1.0,-0.007380758465560163,-0.2691327914487857,-0.0014125512476427645,0.05021743832437973,-0.22208370133020988,-0.15272877354577097,-0.019914331799175605,-0.0922345641189259,-0.22178238389513832,-0.2642323838305108,-0.13677697701017402,-0.19164476934168997,-0.1327147749502778,-0.3232217867292304,-0.025830252087013623,-0.21599474519513276,-0.021450567197966505,-0.2040482513064868,0.07591841834940417,-0.17674085353012015,0.15817984215689415,-0.11071662159091028,0.14287505388037358,-0.1958811432008901,0.14241977172023815,-0.06494923479833771,0.13859991587911,-0.15994290025923422,0.11441302030286425,-0.050767887175031945,0.09143120647166751,-0.202502104515379,0.08151888838696603,-0.027838542326270463,0.0801372637450117,-0.23877847238613295,0.14064963326786467,-0.3741253354432713,0.0860030303382929,-0.4761592647099538,-0.21709663477741992,-0.3686372719632689,0.07651102713513194,-0.4609321019411006,-0.14600311584811781,-0.4118159295328117,-0.07700863140898223,-0.37412592806964534,0.05672948370684649,-0.47185053595292675,-0.20832771549646878,-0.42099448642507337,0.054641693184122396,-0.47183626783242916,-0.1604452941623068,-0.3866821564193634,0.014359593476123188,-0.39579691195487804,0.011867512426583744,-0.44176329916442286,-0.10106299993870213
