Feature 1,Feature 2,Correlation
spec_centroid_mean,spec_rolloff_mean,0.9796183490639829
spec_centroid_mean,mfcc2_mean,-0.9404522099252551
spec_rolloff_mean,mfcc2_mean,-0.9346082865862234
mfcc19_std,mfcc20_std,0.8764253322157078
spec_centroid_mean,zcr_mean,0.8746706332717117
mfcc16_std,mfcc17_std,0.8495902687292509
mfcc18_std,mfcc19_std,0.8459997655266415
mfcc6_mean,mfcc8_mean,0.837216844415946
mfcc17_std,mfcc18_std,0.8370209597749921
mfcc14_std,mfcc15_std,0.8299262091416603
mfcc15_std,mfcc16_std,0.8197361978424019
mfcc12_std,mfcc13_std,0.8134308452926321
mfcc8_mean,mfcc10_mean,0.8118540973613327
mfcc13_std,mfcc14_std,0.8115431155878539
mfcc10_mean,mfcc12_mean,0.8081480249873059
rms_mean,mfcc1_mean,0.8074777451446538
