,duration,sr,spec_centroid_mean,spec_rolloff_mean,zcr_mean,rms_mean,tempo,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc14_mean,mfcc14_std,mfcc15_mean,mfcc15_std,mfcc16_mean,mfcc16_std,mfcc17_mean,mfcc17_std,mfcc18_mean,mfcc18_std,mfcc19_mean,mfcc19_std,mfcc20_mean,mfcc20_std,chroma1_mean,chroma1_std,chroma2_mean,chroma2_std,chroma3_mean,chroma3_std,chroma4_mean,chroma4_std,chroma5_mean,chroma5_std,chroma6_mean,chroma6_std,chroma7_mean,chroma7_std,chroma8_mean,chroma8_std,chroma9_mean,chroma9_std,chroma10_mean,chroma10_std,chroma11_mean,chroma11_std,chroma12_mean,chroma12_std
duration,1.0,,-0.07168811648516885,-0.06945239286028652,-0.0312588792243993,-0.005173860964118499,0.06372851466418612,0.0587275801370327,-0.027479443943834357,0.10795286649317175,0.05701691269591682,-0.0254804015315485,0.1304776824288369,-0.025114351903835444,0.019183258290276645,-0.08811958496142974,-0.0590551641198096,-0.07181415433977753,0.020002050262412776,-0.1395494067878873,-0.01325319672028671,-0.13660855970368094,0.028869596018322445,-0.1454381183085149,0.026090247397095208,-0.11141812700498056,0.0905143509259847,-0.09174680606292267,0.07041544174069299,-0.08479232653700686,0.10245791860234453,-0.13094096610526204,0.042857553091923024,-0.1628895030689143,0.04042569364425077,-0.13594637085881062,0.017693387602442795,-0.07906284138559308,0.0978860732584855,-0.11557970074825734,0.06504018911622142,-0.05081725403218734,0.05680540386709806,-0.040946405789979795,0.061412880199996106,-0.0034171636406847023,0.07882791484689602,-0.10779488534588735,0.004383985311004522,-0.035460567180891744,0.11890740815629863,-0.10296393744475812,-0.02207800142226085,-0.07173058621119677,0.06261192141595158,-0.01792090385189675,0.09402237883009446,-0.04743062832243877,0.06004453294163543,-0.05783972750987795,0.06640598521771422,-0.09168495657651046,0.0097860564504549,-0.03848024367937896,0.08582957429597793,-0.08601072077327851,0.0466852680862946,-0.13691857129002039,0.04004143800987133,-0.14699269836890028,0.013935895743831219
sr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spec_centroid_mean,-0.07168811648516885,,1.0,0.9560119929296669,0.8292120457059523,0.15642737020162018,0.03720662334276599,0.4594853855007038,0.10444664465932825,-0.8867781496528848,-0.011916700484943952,-0.09805674105193826,-0.07757297498359045,0.14621703557693488,0.02557182811115101,-0.22061965817173454,0.07599944329723486,0.2512447591665577,0.05339694561170361,0.057107371548242906,0.07149850597258396,0.3246810524142247,0.023820316315508683,0.13366985544186832,0.032753841929816306,0.3720827089856241,0.04451511533048392,0.21793768165247043,-0.014703371343403927,0.3567468789205566,-0.024562955387568815,0.11740452907549817,-0.05339042241649944,0.3103954565909087,-0.08338315850000438,0.10396467447353894,-0.1170927150918033,0.3379459352800963,-0.15227027764230078,0.04506934959740956,-0.14744080931567796,0.2947031858399732,-0.1447086223703931,0.025377840383313158,-0.12708204978484866,0.23821939416574292,-0.08704008662402288,0.1923108701854743,0.0034543843502359986,0.22114602649278442,0.055720643889122304,0.21259006702389868,-0.010998855474963678,0.2653702592126369,0.1036235463204214,0.21569431198873792,-0.058746181197471485,0.26007334739918186,0.09923520663065533,0.23807588289197612,-0.02014424611267288,0.2132049739142427,-0.005343914915865116,0.2661314072798466,0.10823429171253193,0.21976304929174453,-0.0027499923459045617,0.22030609024948483,0.03961982913063225,0.24476444273688605,-0.003967401065437458
spec_rolloff_mean,-0.06945239286028652,,0.9560119929296669,1.0,0.6489093387470559,0.26945964528946503,0.0255057706391394,0.5908797682737086,0.17102373533927795,-0.8316508024575598,0.01950159258172246,0.029219128707080537,-0.07008929622135635,0.21202422483311306,0.003572871032971843,-0.10193086840709577,0.02813002789219029,0.34544572932265855,0.0037195167512799805,0.10440193321738399,0.013626611738815316,0.4067095525122009,-0.023341096403104084,0.14903974640175188,-0.03225041026265144,0.43784457999739657,-0.024107188771072777,0.24906850261892136,-0.07924786783115564,0.4132411684117355,-0.08185263564786671,0.1445379936515868,-0.11355562553043845,0.33863254376214763,-0.1287653268406638,0.10756389678666184,-0.15750680445555204,0.3634676256188815,-0.18884096914092774,0.02215995610574729,-0.19102124195603912,0.3109792191418244,-0.18714948436931528,-0.009472091875712563,-0.16645521939021932,0.23982114785479416,-0.12498348620511872,0.25297698442487093,0.009697804209972107,0.27495225821773744,0.03719038881435518,0.27275726416666307,-0.003005046742786953,0.31752108888008285,0.09898234826392197,0.28394850400700117,-0.0453053005205767,0.3053709354827526,0.09937794070966252,0.2822978622830682,-0.04730762267413794,0.2824587025764669,0.0017733573832116865,0.31946421002305603,0.09773254746672196,0.28443169686434183,0.014093227725723936,0.28312874421292133,0.03877278829775769,0.3094575535242486,-0.0008820984982632557
zcr_mean,-0.0312588792243993,,0.8292120457059523,0.6489093387470559,1.0,-0.09310820349836486,0.04942187743055704,0.1511326247715526,-0.10444967813085179,-0.7070356135006107,-0.1095647330851983,-0.3776502101342678,-0.09370893849317083,-0.06692752061978044,0.002724054487615638,-0.4220769595417458,0.11197415558301864,-0.05509749634796961,0.09259249326084981,-0.11460704540595204,0.12109073084956158,0.04624121785743041,0.06164158217772661,0.01901917176548228,0.10748002321908887,0.10551152604216578,0.13934764259434235,0.06037650323109244,0.0940855580814018,0.125823263385305,0.07314631868735172,-0.017132393931590027,0.05744876027418924,0.15706192430033425,0.006543052286197599,0.033373024137443794,-0.02625510657598179,0.18677617509799613,-0.0461052196869822,0.05770654103635454,-0.031101825217186515,0.1748519044875027,-0.03174767311750475,0.06431748748335209,-0.016477973130706758,0.1681286043338882,0.015473245770729026,0.024253719311614706,-0.029089397643029993,0.07778972051337109,0.08287210986305109,0.056097372987946814,-0.02513137297273773,0.10037821438147694,0.06991322885108042,0.032809740967210316,-0.09039317453575803,0.10556362643579767,0.06288652619055668,0.079412032867801,0.017334469005251794,0.015283098936910043,-0.038643094977630243,0.08200254180760747,0.08249243308948548,0.041450113143055176,-0.04022922302164194,0.046564913996148545,0.03177933351976317,0.06119778160747587,-0.013080994115250679
rms_mean,-0.005173860964118499,,0.15642737020162018,0.26945964528946503,-0.09310820349836486,1.0,-0.058004892432056546,0.7575573007897618,0.047621409617771976,-0.07984774582935726,0.10968141873409441,0.17329193575421567,0.009235305047913598,0.2809468315008701,0.06201189173110116,0.11002178975102968,0.02901660903729803,0.2903315627941209,0.01948767253499009,0.12294867464693242,-0.015732079814991324,0.3137850665640656,-0.028615973937666205,0.09721647215986624,-0.10450581389597502,0.2639631277889127,-0.114406562547219,0.12853394269379245,-0.1635362796197157,0.18704219240631284,-0.15366965688416115,0.009729812360893127,-0.16600810333638621,0.1342734615448903,-0.1582782939931173,0.006362248840065236,-0.17826332078578946,0.14741194841501948,-0.125064972471392,-0.01712013330066602,-0.16816317140722092,0.13684412190669193,-0.1572182744890498,-0.05788725809042874,-0.18400345607777482,0.1015886075793321,-0.17529338076255122,0.18670264778522208,-0.0047004024941071695,0.17589013924086755,-0.0038162157500895794,0.18833666478964206,-0.019754284102803582,0.2242892846277544,0.10435903463179212,0.21186030373443124,-0.026079291381578357,0.21801481530961586,0.12365374802553984,0.1672785706248861,-0.053197428122010504,0.20604995300351614,-0.0039258782581189835,0.2076390344247358,0.05852351537392102,0.1829081143382667,-0.033498579118671164,0.23674732959691,0.0815481970751421,0.22327535798071874,-0.018264035900640255
tempo,0.06372851466418612,,0.03720662334276599,0.0255057706391394,0.04942187743055704,-0.058004892432056546,1.0,0.01360433282852121,0.013040059217732455,-0.023634643032029105,-0.04476481432351902,-0.08311805648399093,-0.02307885350380961,-0.02525070323015175,-0.0688975823517867,0.013344961003803038,-0.03602454965087726,-0.013592066550843027,-0.06871586117727856,-0.05857305748986953,-0.06113379699680827,-0.018170807177678338,-0.056857915494573426,-0.040436771995928794,-0.05720408888729213,-0.057132356273023654,-0.0612115974568129,-0.02407931760846156,-0.025185412461103094,0.006357275596883363,-0.024622663817560248,-0.016991549601206645,-0.038592294537607964,-0.007282781999030618,-0.05446066392166084,-0.07933552646259959,-0.0304249855942282,-0.03710830080697439,-0.019807386720885323,0.006640365841869625,-0.018412628466646798,0.011869977834569547,-0.03188151304620085,0.009795705359809911,0.00041156158224246394,0.03745415874923913,0.08823082803523724,0.014929097337649567,0.03909387719967594,-0.020123638313218332,-0.0006654246259482949,-0.019831225281276087,0.025435514003517925,-0.014217446429587017,0.025756722098472244,-0.04534431874551499,-0.0478721360513237,0.020993049956685283,0.033751217240227165,-0.020015661085440745,0.018306925637738634,0.004704072956877333,0.08974899693112878,-0.0030295531863748456,0.014189595334411118,0.006161573561715569,0.007969426628857372,0.01946749863346141,0.05414901182703961,-0.01490808171319696,-0.024836631388709784
mfcc1_mean,0.0587275801370327,,0.4594853855007038,0.5908797682737086,0.1511326247715526,0.7575573007897618,0.01360433282852121,1.0,0.053874199464269495,-0.2497460718555402,-0.10234514048299495,-0.05304671413091604,-0.18076223171516564,0.25416068879389264,-0.1430870659731946,-0.0432430830599165,-0.14284831493739467,0.242100201449115,-0.18244737573724687,-0.0017700935899470068,-0.19649552819165775,0.288965342280731,-0.22952258659585356,-0.00011138775136819571,-0.28081418993875606,0.27458412212870403,-0.2644086725409072,0.08124271492311161,-0.2970213820095652,0.2342519087347514,-0.2983625687750379,-0.058459545723332895,-0.31836284369381096,0.1399008623634099,-0.31195276312353004,-0.07691126728140975,-0.3158854773654717,0.1928939851766578,-0.26534369728731866,-0.10527030339376338,-0.30168335870188845,0.14888921947749112,-0.29630029379510797,-0.1570909392638422,-0.2879399209383025,0.12431772148291237,-0.24800454040349595,0.2007569264750605,-0.07260374112818126,0.2593003528020923,0.03920680787142528,0.23444376495739105,-0.04528901326488634,0.2926732013357405,0.09118808333399853,0.2882209055575113,-0.049472681792561875,0.2681232336008395,0.09600899860515197,0.21874159883551947,-0.053661747332744585,0.21885383964867774,-0.06564068466468656,0.2593202768258708,0.06603419241475304,0.2255317237702496,-0.04339161489980026,0.22919079314101223,0.05322887961386366,0.24076678701348822,-0.04236022472996971
mfcc1_std,-0.027479443943834357,,0.10444664465932825,0.17102373533927795,-0.10444967813085179,0.047621409617771976,0.013040059217732455,0.053874199464269495,1.0,-0.2080792554394851,0.516438950067853,0.23406304753375226,0.42730508959490604,0.2205584530699704,0.3396422268491176,0.18547524288115547,0.2943217144429639,0.30704659471653145,0.22509778277419293,0.2064181674968627,0.1974916808294492,0.23325406729382556,0.16208463997904757,0.17034753475737924,0.17592341124113234,0.23844788514042792,0.11136172075446753,0.18756401174741016,0.1282391627161661,0.18621113774128792,0.15885900819881518,0.2210415273538914,0.10248401715972526,0.16548093045707285,0.09879456669615291,0.11327857091134748,0.10798355463978285,0.11621613871327048,0.08682095917636709,-0.012214674729110173,0.0905682021429962,0.05545222880646262,0.08951883644470945,-0.02042964430391473,0.07821761279352085,-0.04583341523941372,0.10171841796011023,0.08126745451769977,0.07947408725164112,0.03579679842635754,-0.0593488923666984,0.11002352569001944,0.0832152281398306,0.09218754240850797,0.06089861620723448,0.036177755398693626,0.017856192667958348,0.0721751076474794,0.057312719763370504,0.10990616604613392,-0.03481923068842673,0.16706069792820086,0.09980964730327853,0.11434909508207636,0.0399402979943078,0.12211117724428461,0.07134253175979179,0.10996915788350567,0.042157942303859525,0.10055696935136538,0.030446687260948506
mfcc2_mean,0.10795286649317175,,-0.8867781496528848,-0.8316508024575598,-0.7070356135006107,-0.07984774582935726,-0.023634643032029105,-0.2497460718555402,-0.2080792554394851,1.0,-0.08417683197071049,-0.06192645541929077,0.010733640725964584,-0.26421378552515734,-0.13021359384446946,0.13628582648305493,-0.17280757243513986,-0.3897602302085069,-0.1598213005247555,-0.192176239404683,-0.18133527506379096,-0.40041206184393624,-0.1573187698557427,-0.262586079651806,-0.16700987296127057,-0.4570216731948329,-0.1436779374599404,-0.3009594955129921,-0.10180197407285665,-0.4215822707448161,-0.08140736422013807,-0.24477720489476368,-0.07216135349179756,-0.3842725887601405,-0.035190772580113404,-0.2071607075572101,-0.008484103577243314,-0.40636174357490407,0.07536699629629856,-0.0970049407509872,0.05896376477963411,-0.3296464773126114,0.057229047676910734,-0.07816116974564669,0.03782137416343021,-0.23065120410396672,0.01610438699315417,-0.19351645728989367,-0.05437103009970132,-0.17548783377232147,-0.009405562358806296,-0.19699166430007028,-0.010013819428345621,-0.2551613199049786,-0.11525565558703206,-0.19018850508070334,0.0368009546556722,-0.24882934213716393,-0.09178540442669796,-0.2307898185461517,0.013593030751367311,-0.20889538411006273,-0.030926046585526893,-0.2648069108167604,-0.12212037640891234,-0.21992643564177045,-0.014497445063809669,-0.23172423809018725,-0.05015526588173067,-0.25167641176078537,-0.02155573230601758
