"algorithm","k","n_clusters_found","silhouette_score","davies_bouldin_index","calinski_harabasz_index","nri","ari","purity"
"agglomerative","5","5","0.03044610497341841","3.07015892846753","563.6597167937846","0.7309483177252","0.09501087329438579","0.30186319869951234"
"agglomerative","8","8","0.004991082846886353","3.258298885249485","402.8472037935325","0.7793179758567542","0.08337006295746968","0.32674753032387144"
"agglomerative","10","10","0.005064464929911755","3.518825859745494","343.30230725399105","0.8087118775093436","0.08726029778263412","0.3322495935975991"
"agglomerative","16","16","-0.003501697014714011","3.46416951258788","244.9293242868143","0.8315639625489873","0.07814004271701766","0.35263223708890834"
"gmm","5","5","-0.009847218819843621","4.77368260724652","326.3744384561443","0.724327494496279","0.06506651148874999","0.2589721145429536"
"gmm","8","8","-0.018632807687069125","4.187915945166603","273.8505576596557","0.785886722278233","0.09352958577054274","0.32212079529823684"
"gmm","10","10","-0.020318741586029518","4.26396605626494","251.32632023292567","0.8082042146495281","0.10679742530180888","0.3676378641990746"
"gmm","16","16","-0.02229868509457676","3.780851465759242","195.14130564613558","0.833208870284836","0.09476401257052111","0.3731399274728023"
"kmeans","5","5","0.07115608687082621","2.6722141851375","742.570730638432","0.7390033643807022","0.09308621504279835","0.29611104164061525"
"kmeans","8","8","0.04921373910778637","2.703530724091282","527.3827593753954","0.7915721960017148","0.0911345433083665","0.32662248343128675"
"kmeans","10","10","0.046026172971593074","2.814286301896419","446.4265077688879","0.8075059475467382","0.09292127194052635","0.3401275478304364"
"kmeans","16","16","0.03343473628265235","2.7370931267634395","315.2135497153802","0.8344507066588189","0.07989112740996109","0.3531324246592472"
"spectral","5","5","0.08265096063048592","2.1159866281910085","561.852799933557","0.6718232193500777","0.10584861569995604","0.31261723146179815"
"spectral","8","8","0.04385361022163486","2.2773896032613132","431.42854123698","0.7361513381424988","0.10734027967946012","0.336751281730649"
"spectral","10","10","0.039146967805663395","2.5601453278377404","375.4596923715759","0.7759215358585883","0.0998242002811377","0.3575090658997124"
"spectral","16","16","0.027298792610972483","2.66863660977775","275.109297584106","0.8196985512888995","0.08021436581978245","0.36176066024759285"
